2019-03-19 13:38:46,b'@charliekirk11 The #Dems sure wanted to hold #Kavanaugh responsible for HS yearbook stupid comments. And they were\xe2\x80\xa6 https://t.co/HPK9LqTCDR'
2019-03-19 13:30:50,b'DISTURBING!!! WHAT DO YOU SAY @TSA?!! #covingtoncatholic #CovingtonBoys  @IvankaTrump @realDonaldTrump\n@PressSec\xe2\x80\xa6 https://t.co/NYlrR8m3MN'
2019-03-19 12:49:59,"b""@thehill Stop with the 'attack on the press'! He is rightfully attacking 'fake news' &amp; many agree.\xe2\x80\xa6 https://t.co/woub8R2Itc"""
2019-03-19 11:10:22,"b'RT @GOPChairwoman: There are over 2,000 words on the @WashingtonPost homepage. Not one addresses this. \n \nThe \xe2\x80\x9ceditor\xe2\x80\x99s note\xe2\x80\x9d should receiv\xe2\x80\xa6'"
2019-03-19 11:07:33,b'RT @ToddMcMurtry: Below is a statement released today by Lin Wood @LLinWood and me on behalf of Nicholas Sandmann responding to the Friday\xe2\x80\xa6'
2019-03-19 10:59:24,"b'RT @Shaughn_A: #America: @BetoORourke wrote stories about running over children with his car?! WT\xf0\x9f\x98\xb3?\n\n#BetAORourke: Aw c\xe2\x80\x99mon guys, I was jus\xe2\x80\xa6'"
2019-03-19 10:53:40,"b'RT @Shaughn_A: #America: @BetoORourke wrote stories about running over children with his car?! WT\xf0\x9f\x98\xb3?\n\n#BetAORourke: Aw c\xe2\x80\x99mon guys, I was jus\xe2\x80\xa6'"
2019-03-19 10:45:31,"b'RT @Shaughn_A: #America: @BetoORourke wrote stories about running over children with his car?! WT\xf0\x9f\x98\xb3?\n\n#BetAORourke: Aw c\xe2\x80\x99mon guys, I was jus\xe2\x80\xa6'"
2019-03-19 10:08:37,"b""RT @HoldenMatheson: I'm still not over this!  We need to make this right. #CovingtonBoys #CovingtonCatholic #blackhebrewisraelites #racists\xe2\x80\xa6"""
2019-03-19 05:44:25,"b""RT @SenRichardBlack: #Covington attorney filed a $250 million lawsuit against the WashPo for ruining a boy's life. They've done this for ye\xe2\x80\xa6"""
2019-03-19 05:40:41,"b'RT @Shaughn_A: #America: @BetoORourke wrote stories about running over children with his car?! WT\xf0\x9f\x98\xb3?\n\n#BetAORourke: Aw c\xe2\x80\x99mon guys, I was jus\xe2\x80\xa6'"
2019-03-19 05:34:59,"b'RT @Shaughn_A: #America: @BetoORourke wrote stories about running over children with his car?! WT\xf0\x9f\x98\xb3?\n\n#BetAORourke: Aw c\xe2\x80\x99mon guys, I was jus\xe2\x80\xa6'"
2019-03-19 05:33:58,b'@bex0760 @SarahAnnRhoades @behaviorben @LizMair It\xe2\x80\x99s the #CovingtonCatholic lawsuit fad. All the rage in wingnut land all of a sudden.'
2019-03-19 05:03:25,"b'I hope those Covington brats watch this Haka. The Haka is not something to be mimicked by idiotic, elitist KY boys.\xe2\x80\xa6 https://t.co/gfXegSRLtk'"
2019-03-19 04:41:05,"b'RT @Shaughn_A: #America: @BetoORourke wrote stories about running over children with his car?! WT\xf0\x9f\x98\xb3?\n\n#BetAORourke: Aw c\xe2\x80\x99mon guys, I was jus\xe2\x80\xa6'"
2019-03-19 04:23:40,"b'RT @Shaughn_A: #America: @BetoORourke wrote stories about running over children with his car?! WT\xf0\x9f\x98\xb3?\n\n#BetAORourke: Aw c\xe2\x80\x99mon guys, I was jus\xe2\x80\xa6'"
2019-03-19 04:18:20,"b'RT @Shaughn_A: #America: @BetoORourke wrote stories about running over children with his car?! WT\xf0\x9f\x98\xb3?\n\n#BetAORourke: Aw c\xe2\x80\x99mon guys, I was jus\xe2\x80\xa6'"
2019-03-19 04:17:39,"b""What an amazing kid #WillConnolly is.\n\nIf the #covingtoncatholic were raised 1/2 as well as this kid- they wouldn't\xe2\x80\xa6 https://t.co/0Btjq4kNin"""
2019-03-19 04:16:07,"b'#America: @BetoORourke wrote stories about running over children with his car?! WT\xf0\x9f\x98\xb3?\n\n#BetAORourke: Aw c\xe2\x80\x99mon guys,\xe2\x80\xa6 https://t.co/pmhzt59rvr'"
2019-03-19 04:09:51,"b'RT @CheathamWCPO: #CovingtonCatholic Final Investigative Report finds ""Mr. Sandmann\'s January 20, 2019, statement appears to accurately ref\xe2\x80\xa6'"
2019-03-19 03:56:24,b'Nunes sues for $250 million. The Covington kid sues for $275 million. These Republican sure have an inflated view o\xe2\x80\xa6 https://t.co/aV5rB1aQhx'
2019-03-19 03:33:57,b'RT @TomMcNaught1: @nzherald Wish we had more brave and principled young men like \xe2\x80\x98Egg Boy\xe2\x80\x99 Will Connolly in our country. We\xe2\x80\x99re stuck with M\xe2\x80\xa6'
2019-03-19 02:59:37,b'RT @MarcusHWeber: VIDEO: https://t.co/pFgrJA1N0Q From :06 to 1:06 you can see a teacher or coach of #CovingtonCatholic leading the teens in\xe2\x80\xa6'
2019-03-19 02:58:24,b'RT @TheWire2: \xe2\x80\x9c#MAGA guy is just standing there! How is that harassment?\xe2\x80\x9d - #CovingtonCatholic \n\nHistory - https://t.co/q7LdjSuREM'
2019-03-19 02:16:38,"b'My focus, as with #CovingtonCatholic, would not be on the attorney, but who is funding the litigation. Litigation i\xe2\x80\xa6 https://t.co/hMMZcYiV0x'"
2019-03-19 02:13:27,b'@nzherald Wish we had more brave and principled young men like \xe2\x80\x98Egg Boy\xe2\x80\x99 Will Connolly in our country. We\xe2\x80\x99re stuck\xe2\x80\xa6 https://t.co/VAF6ByCyrt'
2019-03-19 02:05:47,"b'@iamjohnoliver , you had a PERFECT opportunity to mention the public shaming of the #covingtoncatholic boys. Who in\xe2\x80\xa6 https://t.co/zlFn2FUayH'"
2019-03-19 02:04:40,b'@LastWeekTonight You had a PERFECT opportunity to mention the public shaming of the #covingtoncatholic boys. Who in\xe2\x80\xa6 https://t.co/wbyWCQ3p5l'
2019-03-19 01:47:25,"b'RT @EpochTimes: Legacy media @NBC, @HBO, &amp; @AP may be next to get sued over their reporting and/or commentary on #CovingtonCatholic student\xe2\x80\xa6'"
2019-03-19 00:54:51,b'#DevinNunes is fighting back. So are the #CovingtonCatholic students. Good. It\xe2\x80\x99s about damn time conservatives star\xe2\x80\xa6 https://t.co/OsootI4uIs'
2019-03-19 00:22:44,"b'Where did he get that idea, the #CovingtonCatholic guy who is suing every newspaper and TV network around and hopin\xe2\x80\xa6 https://t.co/lXzykuYX6c'"
2019-03-19 00:03:41,"b'The smug junior racist from #CovingtonCatholic wants, I think, $250 million from WaPo or someone. \nNunes tryna sue\xe2\x80\xa6 https://t.co/9nB6NT0hkh'"
2019-03-19 00:00:27,b'RT @AquilaThomas09: HERO \n\nNathan Phillips\nOmaha Elder\nVietnam Veteran \nFormer director of the Native Youth Alliance \nKeeper of a sacred pi\xe2\x80\xa6'
2019-03-18 23:27:55,b'@TIME We tend to forget the issue of subjectivity in using public shaming as a \xe2\x80\x9ctool\xe2\x80\x9d when \xe2\x80\x9cwell directed\xe2\x80\x9d and if \xe2\x80\x9c\xe2\x80\xa6 https://t.co/yyS6BX4EXF'
2019-03-18 23:18:45,b'There is only 1 ex. of large vol. of HATE going on in USA &amp;that is the kind that occurred in an enormous nationwide\xe2\x80\xa6 https://t.co/4sMx7b6uHm'
2019-03-18 22:54:17,b'Kids all over New Zealand are spontaneously honoring their grief via Maori Haka - Meanwhile #CovingtonCatholic thin\xe2\x80\xa6 https://t.co/VA3T5JgPRc'
2019-03-18 22:48:05,b'Imagine if American Children were this aware of &amp; respectful towards our Indigenous Americans instead of the insouc\xe2\x80\xa6 https://t.co/D4sOQcwAnp'
2019-03-18 21:17:07,b'Why Covington Teen Could Win His Lawsuit Against CNN | The Daily Signal https://t.co/c8B0JGirIA #CovingtonCatholic #defamation'
